like1,parrunoff_coeff,parsoil_capacity,paret_factor,parquick_recession,parbase_recession,chain
-48.629868,0.38412866,144.19006,0.678323,0.7463516,0.1302625,1.0
-54.29861,0.48819166,92.2535,1.1045629,0.6451116,0.21549568,6.0
-52.717934,0.38412866,198.61069,0.61307734,0.8729321,0.010771419,1.0
-59.03065,0.36779287,60.77883,1.3193243,0.49306232,0.14279471,4.0
-57.25615,0.36779287,60.77883,1.3193243,0.51148087,0.14279471,4.0
-59.528973,0.45892897,125.18566,0.23246811,0.51174664,0.064577185,3.0
-49.225853,0.36779287,60.77883,1.3193243,0.83772093,0.14279471,4.0
-52.686337,0.2957886,101.65907,1.4977385,0.688042,0.24148187,0.0
-54.242107,0.47658968,60.77883,1.3193243,0.47022635,0.14279471,4.0
-49.225853,0.36779287,60.77883,1.3193243,0.83772093,0.14279471,4.0
-43.215946,0.3736373,113.80267,1.4977385,0.63540345,0.24148187,0.0
-49.02839,0.38412866,144.19006,0.678323,0.6816871,0.1302625,1.0
-49.373207,0.48819166,92.2535,1.1045629,0.6451116,0.1080393,6.0
-49.22962,0.38412866,139.67192,0.88851434,0.6859928,0.19516823,1.0
-59.528973,0.45892897,125.18566,0.23246811,0.51174664,0.064577185,3.0
-51.092194,0.5223436,56.98139,1.4552655,0.68387634,0.08623367,4.0
-41.208157,0.36434838,215.68037,0.26634985,0.70786023,0.037339862,5.0
-58.55346,0.3972863,89.018776,0.8297061,0.7452038,0.22567616,0.0
-58.78706,0.40996027,179.71124,0.68463254,0.58122534,0.11114688,3.0
-48.81296,0.30862448,139.51227,1.2426127,0.70318395,0.18726261,1.0
-43.54642,0.34680912,122.70785,1.1529751,0.6873605,0.090806775,3.0
-50.663155,0.4229336,102.55295,1.3193243,0.8418086,0.037504677,4.0
-42.924393,0.3736373,113.80267,1.4977385,0.63540345,0.19043694,0.0
-57.91523,0.5266323,92.2535,1.1045629,0.6451116,0.1080393,6.0
-58.79139,0.46177197,139.51227,1.2797736,0.70318395,0.21732943,1.0
-55.334515,0.49843282,74.470985,1.0852242,0.68951666,0.2173765,2.0
-59.28953,0.36779287,60.77883,1.1905067,0.83772093,0.14279471,4.0
-37.842037,0.37407935,215.68037,0.26634985,0.70786023,0.020764211,5.0
